"date","open","high","low","close","volume","exchange","M20","M5"
2021-10-14,1.127475,1.15775,1.117925,1.133675,32118726.53105,"XRP/USD",1.042275,1.12699
2021-10-15,1.133675,1.165,1.090875,1.141425,95544509.9658,"XRP/USD",1.05231,1.128175
2021-10-16,1.141425,1.186925,1.12945,1.13435,38326507.779,"XRP/USD",1.0618225,1.127745
2021-10-17,1.13435,1.1405,1.01965,1.094,34534663.3406,"XRP/USD",1.07044,1.126185
2021-10-18,1.094,1.10615,1.06415,1.083,32370647.4516,"XRP/USD",1.07996375,1.11729
2021-10-19,1.082975,1.100825,1.06685,1.0911,19772728.88585,"XRP/USD",1.08819625,1.108775
2021-10-20,1.0911,1.15295,1.087225,1.14575,38723374.358875,"XRP/USD",1.09780875,1.10964
2021-10-21,1.14575,1.1641,0.92845,1.08835,48376370.089675,"XRP/USD",1.10011375,1.10044
2021-10-22,1.0883,1.1284,1.075,1.08815,33528651.84505,"XRP/USD",1.1027125,1.09927
2021-10-23,1.08815,1.10155,1.075975,1.093225,24295768.070975,"XRP/USD",1.10457625,1.101315
2021-10-24,1.093225,1.09615,1.0528,1.0821,21642467.248725,"XRP/USD",1.10652375,1.099515
2021-10-25,1.0821,1.1031,1.0778,1.095225,31764486.175375,"XRP/USD",1.10704,1.08941
2021-10-26,1.095225,1.15995,1.090875,1.106725,41314379.7151,"XRP/USD",1.10854375,1.093085
2021-10-27,1.106725,1.12445,0.95225,0.995025,107309682.983125,"XRP/USD",1.104885,1.07446
2021-10-28,0.995025,1.08125,0.981575,1.0588,62479534.2765,"XRP/USD",1.10463375,1.067575
2021-10-29,1.0588,1.090575,1.053775,1.0823,38084125.995725,"XRP/USD",1.10072375,1.067615
2021-10-30,1.0823,1.116325,1.062275,1.085125,28928926.814475,"XRP/USD",1.098205,1.065595
2021-10-31,1.085125,1.1556,1.068025,1.11345,57359710.3746,"XRP/USD",1.0970525,1.06694
2021-11-01,1.11345,1.133,1.070225,1.092675,34956266.0813,"XRP/USD",1.09659625,1.08647
2021-11-02,1.092675,1.14765,1.086,1.136,36142359.421725,"XRP/USD",1.0970225,1.10191
2021-11-03,1.136,1.2362,1.126925,1.2108,98287232.3642,"XRP/USD",1.10087875,1.12761
2021-11-04,1.2108,1.258875,1.1629,1.200925,59227160.122725,"XRP/USD",1.10385375,1.15077
2021-11-05,1.200925,1.20165,1.132225,1.1596,40400585.397775,"XRP/USD",1.10511625,1.16
2021-11-06,1.15955,1.1773,1.0989,1.151975,38003737.572925,"XRP/USD",1.108015,1.17186
2021-11-07,1.151975,1.2376,1.146125,1.220725,44990658.5273,"XRP/USD",1.11490125,1.188805
2021-11-08,1.220725,1.2975,1.21965,1.28255,115110651.715825,"XRP/USD",1.12447375,1.203155
2021-11-09,1.28255,1.289425,1.223275,1.25765,60955520.567575,"XRP/USD",1.13006875,1.2145
2021-11-10,1.25765,1.349675,1.116325,1.190075,115732838.344175,"XRP/USD",1.135155,1.220595
2021-11-11,1.1901,1.254175,1.176775,1.214475,65716874.09775,"XRP/USD",1.14147125,1.233095
2021-11-12,1.2142,1.2332,1.1549,1.1886,63147148.08585,"XRP/USD",1.14624,1.22667
